,,,,,,,
State Energy Data System,,,,,,,
State codes and descriptions,,,,,,,
,,,,,,,
"The State Codes are 2-character codes, following the U.S. Postal Service State abbreviations. Geographic ",,,,,,,
"areas used throughout SEDS includes the 50 States and the District of Columbia, and the United States. ",,,,,,,
"For production of crude oil and natural gas, Federal offshore regions are identified by X3 and X5.",,,,,,,
,,,,,,,
State code,State name,,,,,,
AK,Alaska,,,,,,
AL,Alabama,,,,,,
AR,Arkansas,,,,,,
AZ,Arizona,,,,,,
CA,California,,,,,,
CO,Colorado,,,,,,
CT,Connecticut,,,,,,
DC,District of Columbia,,,,,,
DE,Delaware,,,,,,
FL,Florida,,,,,,
GA,Georgia,,,,,,
HI,Hawaii,,,,,,
IA,Iowa,,,,,,
ID,Idaho,,,,,,
IL,Illinois,,,,,,
IN,Indiana,,,,,,
KS,Kansas,,,,,,
KY,Kentucky,,,,,,
LA,Louisiana,,,,,,
MA,Massachusetts,,,,,,
MD,Maryland,,,,,,
ME,Maine,,,,,,
MI,Michigan,,,,,,
MN,Minnesota,,,,,,
MO,Missouri,,,,,,
MS,Mississippi,,,,,,
MT,Montana,,,,,,
NC,North Carolina,,,,,,
ND,North Dakota,,,,,,
NE,Nebraska,,,,,,
NH,New Hampshire,,,,,,
NJ,New Jersey,,,,,,
NM,New Mexico,,,,,,
NV,Nevada,,,,,,
NY,New York,,,,,,
OH,Ohio,,,,,,
OK,Oklahoma,,,,,,
OR,Oregon,,,,,,
PA,Pennsylvania,,,,,,
RI,Rhode Island,,,,,,
SC,South Carolina,,,,,,
SD,South Dakota,,,,,,
TN,Tennessee,,,,,,
TX,Texas,,,,,,
UT,Utah,,,,,,
VA,Virginia,,,,,,
VT,Vermont,,,,,,
WA,Washington,,,,,,
WI,Wisconsin,,,,,,
WV,West Virginia,,,,,,
WY,Wyoming,,,,,,
X3,"Federal Offshore, Gulf of Mexico",,,,,,
X5,"Federa Offshore, Pacific",,,,,,
US,United States,,,,,,
,,,,,,,